name, repeat, time, slow_prob, transf, fvc, depth, inv_depth, rate
orig, 1, 1, 0.000000, id, 1, 8, -1, 94828.009133
inc, 1, 1, 0.000000, id, 1, 8, -1, 5844241.795958
einc, 1, 1, 0.000000, id, 1, 8, -1, 589590.980693
orig, 1, 1, 0.000000, add, 1, 8, 1, 93130.794925
inc, 1, 1, 0.000000, add, 1, 8, 1, 501034.753767
orig, 1, 1, 0.000000, elim, 1, 8, 1, 161437.567340
inc, 1, 1, 0.000000, elim, 1, 8, 1, 596695.602326
orig, 1, 1, 0.000000, move, 1, 8, 1, 91372.398378
inc, 1, 1, 0.000000, move, 1, 8, 1, 160929.725669
orig, 1, 1, 0.500000, id, 1, 8, -1, 89137.441082
inc, 1, 1, 0.500000, id, 1, 8, -1, 5555608.901943
einc, 1, 1, 0.500000, id, 1, 8, -1, 617595.153532
orig, 1, 1, 0.500000, add, 1, 8, 1, 92657.223384
inc, 1, 1, 0.500000, add, 1, 8, 1, 517822.734677
orig, 1, 1, 0.500000, elim, 1, 8, 1, 192379.130641
inc, 1, 1, 0.500000, elim, 1, 8, 1, 651122.471499
orig, 1, 1, 0.500000, move, 1, 8, 1, 95168.823944
inc, 1, 1, 0.500000, move, 1, 8, 1, 197772.493876
orig, 1, 1, 0.750000, id, 1, 8, -1, 94950.720974
inc, 1, 1, 0.750000, id, 1, 8, -1, 5954410.329471
einc, 1, 1, 0.750000, id, 1, 8, -1, 619858.224521
orig, 1, 1, 0.750000, add, 1, 8, 1, 90546.692703
inc, 1, 1, 0.750000, add, 1, 8, 1, 476095.411203
orig, 1, 1, 0.750000, elim, 1, 8, 1, 180610.923249
inc, 1, 1, 0.750000, elim, 1, 8, 1, 620348.284140
orig, 1, 1, 0.750000, move, 1, 8, 1, 87401.957191
inc, 1, 1, 0.750000, move, 1, 8, 1, 170208.448066
orig, 1, 1, 0.900000, id, 1, 8, -1, 82818.108306
inc, 1, 1, 0.900000, id, 1, 8, -1, 4548070.758968
einc, 1, 1, 0.900000, id, 1, 8, -1, 462221.025075
orig, 1, 1, 0.900000, add, 1, 8, 1, 80612.667879
inc, 1, 1, 0.900000, add, 1, 8, 1, 409186.659448
orig, 1, 1, 0.900000, elim, 1, 8, 1, 141975.991109
inc, 1, 1, 0.900000, elim, 1, 8, 1, 517514.788459
orig, 1, 1, 0.900000, move, 1, 8, 1, 82229.029095
inc, 1, 1, 0.900000, move, 1, 8, 1, 166623.167889
orig, 1, 1, 1.000000, id, 1, 8, -1, 80836.643148
inc, 1, 1, 1.000000, id, 1, 8, -1, 5664801.796809
einc, 1, 1, 1.000000, id, 1, 8, -1, 583831.290091
orig, 1, 1, 1.000000, add, 1, 8, 1, 79537.796464
inc, 1, 1, 1.000000, add, 1, 8, 1, 490864.671899
orig, 1, 1, 1.000000, elim, 1, 8, 1, 188243.623201
inc, 1, 1, 1.000000, elim, 1, 8, 1, 631055.163227
orig, 1, 1, 1.000000, move, 1, 8, 1, 91786.361572
inc, 1, 1, 1.000000, move, 1, 8, 1, 197994.022008
orig, 1, 1, 0.000000, id, 1, 10, -1, 21683.893632
inc, 1, 1, 0.000000, id, 1, 10, -1, 5757781.229207
einc, 1, 1, 0.000000, id, 1, 10, -1, 460901.167682
orig, 1, 1, 0.000000, add, 1, 10, 1, 22055.353338
inc, 1, 1, 0.000000, add, 1, 10, 1, 150396.741625
orig, 1, 1, 0.000000, elim, 1, 10, 1, 45314.871109
inc, 1, 1, 0.000000, elim, 1, 10, 1, 31637.284197
orig, 1, 1, 0.000000, move, 1, 10, 1, 21952.234302
inc, 1, 1, 0.000000, move, 1, 10, 1, 17814.547598
orig, 1, 1, 0.500000, id, 1, 10, -1, 21601.138706
inc, 1, 1, 0.500000, id, 1, 10, -1, 5738663.707681
einc, 1, 1, 0.500000, id, 1, 10, -1, 458108.770211
orig, 1, 1, 0.500000, add, 1, 10, 1, 21698.212447
inc, 1, 1, 0.500000, add, 1, 10, 1, 148801.451656
orig, 1, 1, 0.500000, elim, 1, 10, 1, 45492.055834
inc, 1, 1, 0.500000, elim, 1, 10, 1, 31785.011769
orig, 1, 1, 0.500000, move, 1, 10, 1, 21929.631982
inc, 1, 1, 0.500000, move, 1, 10, 1, 17544.796821
orig, 1, 1, 0.750000, id, 1, 10, -1, 21848.054123
inc, 1, 1, 0.750000, id, 1, 10, -1, 5710433.144162
einc, 1, 1, 0.750000, id, 1, 10, -1, 458391.452045
orig, 1, 1, 0.750000, add, 1, 10, 1, 21932.481473
inc, 1, 1, 0.750000, add, 1, 10, 1, 149395.727373
orig, 1, 1, 0.750000, elim, 1, 10, 1, 45098.706122
inc, 1, 1, 0.750000, elim, 1, 10, 1, 32054.025596
orig, 1, 1, 0.750000, move, 1, 10, 1, 21863.031232
inc, 1, 1, 0.750000, move, 1, 10, 1, 17609.029505
orig, 1, 1, 0.900000, id, 1, 10, -1, 21908.713048
inc, 1, 1, 0.900000, id, 1, 10, -1, 5763346.290444
einc, 1, 1, 0.900000, id, 1, 10, -1, 455546.767800
orig, 1, 1, 0.900000, add, 1, 10, 1, 21802.503219
inc, 1, 1, 0.900000, add, 1, 10, 1, 151071.504554
orig, 1, 1, 0.900000, elim, 1, 10, 1, 45431.991155
inc, 1, 1, 0.900000, elim, 1, 10, 1, 31943.271894
orig, 1, 1, 0.900000, move, 1, 10, 1, 21733.305430
inc, 1, 1, 0.900000, move, 1, 10, 1, 17502.812191
orig, 1, 1, 1.000000, id, 1, 10, -1, 21688.152721
inc, 1, 1, 1.000000, id, 1, 10, -1, 5780813.347037
einc, 1, 1, 1.000000, id, 1, 10, -1, 454036.839714
orig, 1, 1, 1.000000, add, 1, 10, 1, 22114.248169
inc, 1, 1, 1.000000, add, 1, 10, 1, 151108.702612
orig, 1, 1, 1.000000, elim, 1, 10, 1, 43959.201001
inc, 1, 1, 1.000000, elim, 1, 10, 1, 31014.962709
orig, 1, 1, 1.000000, move, 1, 10, 1, 21568.839954
inc, 1, 1, 1.000000, move, 1, 10, 1, 17278.478388
orig, 1, 1, 0.000000, id, 1, 12, -1, 4762.533186
inc, 1, 1, 0.000000, id, 1, 12, -1, 5733594.521763
einc, 1, 1, 0.000000, id, 1, 12, -1, 367275.327089
orig, 1, 1, 0.000000, add, 1, 12, 1, 4909.682516
inc, 1, 1, 0.000000, add, 1, 12, 1, 45664.316367
orig, 1, 1, 0.000000, elim, 1, 12, 1, 10384.181635
inc, 1, 1, 0.000000, elim, 1, 12, 1, 6799.605344
orig, 1, 1, 0.000000, move, 1, 12, 1, 4917.242957
inc, 1, 1, 0.000000, move, 1, 12, 1, 4404.800322
orig, 1, 1, 0.500000, id, 1, 12, -1, 4960.942617
inc, 1, 1, 0.500000, id, 1, 12, -1, 5758658.703584
einc, 1, 1, 0.500000, id, 1, 12, -1, 367479.028655
orig, 1, 1, 0.500000, add, 1, 12, 1, 4938.180420
inc, 1, 1, 0.500000, add, 1, 12, 1, 46171.538570
orig, 1, 1, 0.500000, elim, 1, 12, 1, 10439.343012
inc, 1, 1, 0.500000, elim, 1, 12, 1, 6828.543725
orig, 1, 1, 0.500000, move, 1, 12, 1, 4929.644081
inc, 1, 1, 0.500000, move, 1, 12, 1, 4884.412559
